country,type,n_items,n_blog,n_facebook,n_news,n_policy,n_twitter,n_wikipedia
AD,open,9,0,3,1,0,8,0
AD,closed,13,0,0,0,0,4,0
AE,open,1752,106,183,88,14,900,24
AE,closed,4953,71,240,87,32,1245,48
AF,open,55,1,6,6,1,34,1
AF,closed,60,1,6,2,3,32,0
AG,open,4,0,1,0,1,5,0
AG,closed,2,0,0,0,0,1,0
AI,open,3,0,0,0,0,2,0
AI,closed,5,0,0,0,0,1,0
AL,open,151,2,8,1,1,38,0
AL,closed,223,8,8,5,2,62,1
AM,open,1156,121,259,115,5,1031,24
AM,closed,1702,7,27,8,1,148,8
AN,open,8,1,6,0,0,9,0
AN,closed,20,2,5,2,0,17,1
AO,open,63,2,16,6,2,45,0
AO,closed,44,1,5,2,0,17,2
AR,open,13645,619,1635,377,97,6102,349
AR,closed,27655,421,1795,338,137,7737,638
AT,open,24597,1992,3630,2536,319,14709,760
AT,closed,28514,888,2199,1103,388,9436,391
AU,open,89276,9740,19211,10929,4107,61461,3064
AU,closed,167453,8042,21481,9880,6215,78592,3002
AW,open,1,0,0,0,0,0,0
AW,closed,4,0,0,0,0,1,0
AZ,open,248,1,24,4,0,86,2
AZ,closed,1462,3,18,5,3,80,6
BA,open,614,4,21,5,3,112,3
BA,closed,644,10,26,8,6,127,5
BB,open,71,3,13,6,4,47,0
BB,closed,152,5,9,6,10,46,0
BD,open,2375,90,286,105,100,1309,56
BD,closed,3910,61,244,63,72,951,31
BE,open,31361,2145,4810,2008,691,20940,903
BE,closed,48582,1427,4159,1400,765,19651,703
BF,open,401,31,62,25,30,288,5
BF,closed,445,8,22,3,9,119,2
BG,open,1962,68,126,34,7,662,32
BG,closed,4410,26,141,43,17,713,29
BH,open,154,9,23,7,3,77,9
BH,closed,299,3,17,4,4,78,4
BI,open,23,5,6,1,3,18,1
BI,closed,35,0,4,0,0,14,0
BJ,open,341,17,49,17,11,236,4
BJ,closed,465,11,41,3,7,145,11
BM,open,25,13,6,5,0,12,2
BM,closed,26,2,6,2,1,19,0
BN,open,111,6,12,6,1,45,3
BN,closed,292,7,16,2,2,76,5
BO,open,156,18,42,14,7,109,11
BO,closed,215,11,26,7,4,99,4
BQ,closed,1,0,1,0,0,1,0
BR,open,109066,2904,11523,2525,550,34625,1275
BR,closed,126901,2077,9762,2122,658,35089,1095
BS,open,22,3,13,5,0,23,2
BS,closed,49,2,19,1,1,35,2
BT,open,68,5,18,6,7,56,5
BT,closed,59,3,12,1,4,25,1
BW,open,282,22,82,30,13,217,4
BW,closed,453,18,62,12,11,178,0
BY,open,501,11,43,11,2,206,7
BY,closed,3008,4,32,14,2,171,7
BZ,open,9,1,7,2,0,13,0
BZ,closed,13,1,4,0,0,7,1
CA,open,97212,9011,18698,9222,2188,63515,2980
CA,closed,188563,7778,21039,7943,2884,80348,2667
CD,open,229,20,65,10,14,172,6
CD,closed,287,9,48,7,9,158,7
CF,open,41,3,10,4,1,36,1
CF,closed,21,0,3,0,0,5,0
CG,open,81,6,13,4,6,61,0
CG,closed,86,7,6,2,1,31,1
CH,open,50595,4826,8634,4945,1162,33879,1594
CH,closed,51076,2455,5194,2619,843,21943,881
CI,open,302,20,42,16,12,205,4
CI,closed,450,7,19,6,4,112,4
CK,open,0,0,1,0,0,1,0
CK,closed,3,0,0,0,0,2,0
CL,open,15092,820,1635,547,78,6830,342
CL,closed,13940,325,934,264,133,4484,189
CM,open,1154,47,173,40,23,656,13
CM,closed,1919,32,67,11,27,410,5
CN,open,472189,11692,28004,13290,1720,171473,4875
CN,closed,1201771,10955,27341,13693,2495,193770,4790
CO,open,6150,264,881,206,71,2747,90
CO,closed,8590,162,620,133,69,2664,111
CR,open,577,50,123,42,20,306,18
CR,closed,840,34,121,27,29,350,15
CU,open,855,23,74,30,6,359,15
CU,closed,1693,23,79,24,12,545,16
CV,open,14,2,2,1,0,9,0
CV,closed,14,1,3,2,0,5,1
CW,open,2,2,4,2,0,5,0
CW,closed,6,1,2,0,0,5,0
CY,open,1122,56,132,49,19,599,15
CY,closed,2561,38,158,37,35,675,20
CZ,open,16849,621,1454,462,73,6943,389
CZ,closed,30243,461,1580,383,110,7603,376
DE,open,173457,14142,24677,15218,2294,109415,4998
DE,closed,283345,8604,21669,10894,2847,93603,3762
DJ,open,8,0,0,1,0,6,0
DJ,closed,20,0,2,0,0,9,4
DK,open,30085,2622,5306,2933,745,19018,842
DK,closed,37117,1617,4370,1911,749,17133,540
DM,open,14,1,4,2,0,9,2
DM,closed,15,3,4,0,0,10,2
DO,open,46,0,3,2,1,23,1
DO,closed,72,2,11,2,3,33,1
DZ,open,2653,22,111,49,4,562,26
DZ,closed,12063,23,226,33,9,951,21
EC,open,914,76,215,73,8,603,31
EC,closed,1329,47,212,36,11,670,28
EE,open,2122,162,296,91,21,1056,74
EE,closed,4105,105,295,61,20,1164,78
EG,open,8579,223,767,223,66,3365,86
EG,closed,32069,233,1440,344,177,6289,166
ER,open,21,5,2,1,0,15,1
ER,closed,26,0,2,1,0,9,0
ES,open,110499,5780,15496,6902,1085,57414,2030
ES,closed,148271,3306,12295,4609,1478,52030,1376
ET,open,2924,232,400,87,59,1921,33
ET,closed,1929,69,101,47,51,663,30
FI,open,19844,1618,3414,1715,339,12670,480
FI,closed,30972,956,2896,1136,436,12219,322
FJ,open,88,3,12,5,8,44,1
FJ,closed,259,13,28,2,13,83,7
FK,open,2,0,0,0,0,1,0
FK,closed,14,2,7,0,0,14,0
FM,open,1,0,0,0,0,0,0
FM,closed,9,0,0,0,1,4,0
FR,open,120283,7432,14513,8683,1521,68337,2909
FR,closed,173250,3861,11505,4588,1558,55854,1906
GA,open,157,17,52,19,8,167,15
GA,closed,130,3,7,4,3,74,10
GB,open,275947,32977,56027,31242,9928,200320,9651
GB,closed,180038,9860,20632,8558,5608,87638,4186
GD,open,49,0,7,3,0,37,3
GD,closed,203,3,32,9,1,112,8
GE,open,486,31,77,15,8,298,13
GE,closed,840,10,35,6,4,142,10
GF,open,156,19,25,13,3,118,4
GF,closed,100,8,6,4,0,45,3
GH,open,1485,87,253,80,74,1059,23
GH,closed,1658,30,104,30,29,569,17
GI,open,3,1,3,2,0,3,0
GI,closed,8,1,5,2,0,5,2
GL,open,71,17,22,17,2,61,5
GL,closed,55,6,13,10,0,36,5
GM,open,184,14,48,22,16,189,3
GM,closed,51,2,9,1,1,27,1
GN,open,47,5,20,11,10,51,4
GN,closed,45,4,4,5,1,20,0
GP,open,129,6,19,13,5,92,5
GP,closed,217,3,7,2,2,53,3
GQ,open,2,1,1,1,0,3,0
GQ,closed,2,0,1,0,0,2,0
GR,open,11631,509,1271,442,170,5680,227
GR,closed,33493,491,1905,518,355,8915,302
GT,open,129,7,37,8,9,83,5
GT,closed,112,4,19,0,3,49,2
GW,open,46,0,13,7,3,61,4
GW,closed,24,3,6,3,1,28,2
GY,open,16,2,1,3,0,11,1
GY,closed,30,4,4,3,1,18,2
HN,open,48,0,9,3,2,25,1
HN,closed,36,1,6,0,1,12,0
HR,open,5673,121,314,100,21,1492,53
HR,closed,7592,75,326,94,42,1692,61
HT,open,58,0,16,5,6,52,4
HT,closed,29,0,6,1,2,11,0
HU,open,13303,491,1253,446,50,5767,242
HU,closed,13206,201,651,200,65,3283,163
ID,open,2215,182,323,114,117,1182,34
ID,closed,3692,97,280,64,75,1105,41
IE,open,13429,1003,2122,964,294,8637,393
IE,closed,18636,634,1890,617,303,8870,246
IL,open,20120,1674,2949,1570,179,12768,602
IL,closed,41429,1483,3893,1567,400,15788,663
IN,open,66342,2026,5747,1864,762,26460,1237
IN,closed,273379,2015,8297,2317,973,43446,1613
IQ,open,1207,30,82,37,7,473,8
IQ,closed,2810,18,75,21,5,445,12
IR,open,29374,526,1606,422,119,7860,210
IR,closed,143941,711,3284,913,216,17139,537
IS,open,1124,103,223,108,31,735,29
IS,closed,1804,75,201,72,41,696,36
IT,open,110354,6012,13974,5926,1494,60949,2157
IT,closed,191541,3744,13197,4534,1978,60128,1941
JM,open,224,1,25,5,5,79,0
JM,closed,441,15,28,5,7,118,3
JO,open,1420,21,90,25,19,420,12
JO,closed,4498,39,220,45,31,972,27
JP,open,165386,6530,16173,6634,862,73556,2217
JP,closed,255211,4137,13440,4777,998,67673,1712
KE,open,2398,307,523,307,271,2006,62
KE,closed,1743,124,202,82,92,850,28
KG,open,78,1,3,1,1,44,1
KG,closed,133,4,4,0,0,28,1
KH,open,269,26,66,28,28,246,5
KH,closed,171,9,23,6,2,96,4
KI,closed,1,0,0,0,0,0,0
KM,open,3,0,0,0,0,1,0
KM,closed,4,0,2,0,0,4,0
KN,open,44,6,10,5,4,33,0
KN,closed,89,4,11,1,0,58,0
KP,open,55,1,2,2,0,36,2
KP,closed,160,0,3,1,0,20,0
KR,open,96337,2146,6743,2857,478,33583,1224
KR,closed,213891,2208,7834,2979,851,40364,1009
KW,open,905,28,73,28,11,376,12
KW,closed,2023,23,75,18,9,491,15
KY,open,2,0,0,0,0,0,0
KY,closed,4,0,0,1,0,2,0
KZ,open,742,21,56,13,3,335,14
KZ,closed,1948,11,44,7,5,203,8
LA,open,141,14,32,7,11,140,6
LA,closed,133,9,11,2,2,58,3
LB,open,1489,74,235,94,40,843,33
LB,closed,3516,56,248,50,42,1185,38
LC,open,3,0,0,1,0,0,0
LC,closed,5,0,1,0,0,2,0
LI,open,33,2,0,2,0,19,0
LI,closed,114,2,6,3,0,40,2
LK,open,1268,75,174,76,75,669,30
LK,closed,1485,52,108,33,39,474,30
LR,open,24,6,9,8,4,23,3
LR,closed,10,0,1,1,1,6,0
LS,open,38,0,7,0,2,22,2
LS,closed,40,0,9,1,1,14,0
LT,open,3253,64,175,45,11,867,33
LT,closed,5712,40,165,48,18,919,29
LU,open,1451,96,197,113,25,884,28
LU,closed,1471,38,110,36,23,537,19
LV,open,666,20,52,14,4,222,7
LV,closed,1858,17,84,16,6,338,24
LY,open,202,5,35,4,2,102,4
LY,closed,317,6,42,10,1,110,6
MA,open,2071,51,217,83,10,871,23
MA,closed,6298,32,162,29,24,699,39
MC,open,82,24,17,13,1,69,7
MC,closed,136,15,21,14,1,64,4
MD,open,128,8,12,5,2,75,1
MD,closed,534,3,13,1,0,72,1
ME,open,350,2,11,4,1,26,7
ME,closed,385,3,5,3,0,48,0
MG,open,187,24,52,21,6,171,13
MG,closed,224,15,31,8,3,93,13
MH,open,1,0,1,0,0,1,0
MH,closed,3,0,1,0,1,1,0
MK,open,550,7,25,11,3,134,7
MK,closed,689,7,27,7,4,114,4
ML,open,157,18,41,19,12,136,8
ML,closed,128,4,11,5,6,48,4
MM,open,162,10,34,8,14,137,2
MM,closed,129,10,13,12,4,64,3
MN,open,132,7,19,10,4,87,3
MN,closed,234,5,18,3,3,64,5
MQ,open,1,0,0,0,0,0,0
MR,open,22,0,2,0,2,19,1
MR,closed,36,1,1,0,0,14,0
MS,open,1,0,0,0,1,0,0
MT,open,282,14,40,16,3,154,4
MT,closed,730,16,63,19,3,225,10
MU,open,92,5,9,5,1,41,6
MU,closed,354,9,19,9,7,86,7
MV,open,13,4,9,1,1,12,1
MV,closed,20,2,13,2,0,13,0
MW,open,573,63,125,54,49,498,14
MW,closed,311,13,26,9,14,135,1
MX,open,21552,760,2220,531,120,8657,329
MX,closed,38787,549,2075,436,160,9372,347
MY,open,17606,392,1321,431,123,5347,245
MY,closed,31097,257,1192,289,140,4956,247
MZ,open,327,22,71,39,11,280,8
MZ,closed,184,11,26,5,8,86,5
NA,open,116,3,24,8,2,66,0
NA,closed,154,8,23,5,4,67,2
NC,open,201,33,44,18,18,159,5
NC,closed,203,10,21,2,13,85,4
NE,open,97,2,11,8,2,50,1
NE,closed,117,1,7,1,2,26,0
NG,open,3621,112,354,88,61,1574,53
NG,closed,6992,123,314,98,68,1802,40
NI,open,55,6,15,7,8,42,0
NI,closed,54,2,6,3,0,16,2
NL,open,79073,6520,14113,6345,3005,53679,2049
NL,closed,81526,3627,10088,3763,3080,40752,1263
NO,open,23617,2190,4471,2337,574,14916,515
NO,closed,26084,1139,2903,1405,517,10713,351
NP,open,969,70,211,65,61,554,24
NP,closed,687,26,108,20,20,305,11
NR,closed,1,0,0,0,0,0,0
NZ,open,10096,1027,2067,1076,407,6628,410
NZ,closed,26280,1202,2831,1156,806,11545,587
OM,open,531,16,56,12,6,220,8
OM,closed,1542,26,72,10,4,356,11
PA,open,377,104,160,100,10,410,33
PA,closed,374,44,79,49,8,258,20
PE,open,1142,99,321,94,50,778,27
PE,closed,1179,44,139,32,27,496,30
PF,open,97,17,20,13,10,68,10
PF,closed,101,6,11,6,3,31,4
PG,open,103,15,34,16,20,106,4
PG,closed,103,3,16,4,12,56,4
PH,open,907,73,179,48,38,508,28
PH,closed,2183,68,265,35,43,706,24
PK,open,10797,161,626,150,85,3083,83
PK,closed,21651,145,826,157,94,3424,140
PL,open,53199,1121,3898,955,184,16961,670
PL,closed,66273,649,2638,704,202,13582,522
PS,open,190,20,18,6,2,90,3
PS,closed,267,6,9,1,0,59,0
PT,open,23558,1032,3580,926,196,11189,423
PT,closed,37418,657,3746,694,315,11024,297
PW,open,6,3,4,2,1,6,0
PW,closed,13,2,3,2,3,8,0
PY,open,78,5,15,3,1,31,1
PY,closed,127,3,18,4,2,62,1
QA,open,1259,88,247,93,20,842,22
QA,closed,2485,54,188,44,19,864,18
RE,open,53,5,10,11,0,57,3
RE,closed,51,6,7,2,1,20,0
RO,open,7468,134,507,141,25,2171,55
RO,closed,14126,113,480,100,53,2082,59
RS,open,9472,114,311,74,31,1412,51
RS,closed,14393,103,476,118,36,2402,57
RU,open,24671,1343,2073,1145,50,13572,535
RU,closed,143604,775,1507,1246,81,11074,1012
RW,open,239,18,47,21,12,200,3
RW,closed,203,10,23,10,12,117,4
SA,open,13189,447,1048,522,98,5218,171
SA,closed,20906,267,891,306,111,4484,134
SB,open,19,1,3,1,5,17,0
SB,closed,11,0,2,0,0,4,0
SC,open,14,4,9,6,6,17,0
SC,closed,28,5,12,3,9,21,0
SD,open,430,13,61,17,12,254,6
SD,closed,569,7,31,5,8,134,5
SE,open,47700,3926,8406,4698,1058,30669,1327
SE,closed,53094,2153,5305,2365,990,22012,815
SG,open,14040,1102,2017,1455,165,8433,368
SG,closed,37716,1138,2293,1504,219,10635,347
SI,open,5183,122,356,103,29,1860,76
SI,closed,9141,100,386,96,70,2001,92
SK,open,4707,87,226,64,14,1163,59
SK,closed,7756,101,244,91,12,1534,64
SL,open,55,11,20,14,8,56,7
SL,closed,35,0,7,3,1,15,2
SM,open,7,0,0,0,0,4,0
SM,closed,25,1,1,0,0,6,0
SN,open,510,29,81,26,15,308,15
SN,closed,612,13,36,9,19,183,2
SO,open,9,0,2,1,0,7,0
SO,closed,10,0,1,0,0,7,0
SR,open,35,0,5,2,1,18,1
SR,closed,39,2,5,3,0,16,0
SS,open,5,0,0,0,1,5,0
SS,closed,7,0,0,0,0,5,0
ST,open,1,0,1,0,0,1,0
ST,closed,3,1,2,2,0,3,0
SV,open,38,2,10,3,2,21,2
SV,closed,33,4,4,4,1,22,2
SX,closed,3,0,2,1,0,2,0
SY,open,277,7,20,8,7,93,5
SY,closed,634,6,31,3,7,99,5
SZ,open,36,2,6,2,1,28,2
SZ,closed,49,4,4,2,1,20,2
TC,open,2,0,1,0,0,1,0
TC,closed,2,0,1,0,0,2,0
TD,open,22,3,2,3,0,20,1
TD,closed,17,0,0,0,0,3,0
TG,open,59,3,14,3,1,41,5
TG,closed,125,1,8,0,3,30,2
TH,open,10052,318,1065,301,281,4153,200
TH,closed,23074,267,1296,298,200,5036,227
TJ,open,32,0,3,0,1,15,1
TJ,closed,139,2,2,2,0,12,1
TL,open,5,0,0,0,0,4,0
TL,closed,11,2,2,0,1,2,0
TM,open,14,0,2,0,0,0,0
TM,closed,18,0,0,0,0,0,0
TN,open,3521,47,192,67,14,1050,46
TN,closed,16199,91,512,92,40,2328,70
TO,open,4,0,1,0,1,3,0
TO,closed,4,0,0,0,2,1,0
TR,open,42426,386,1807,389,147,8083,223
TR,closed,93801,634,3904,685,442,18638,320
TT,open,195,8,23,4,6,92,5
TT,closed,470,9,27,8,6,129,1
TW,open,43557,1058,3995,1383,248,17681,504
TW,closed,96665,946,4182,1118,432,18805,377
TZ,open,1337,96,279,103,67,1109,31
TZ,closed,862,30,101,19,30,382,7
UA,open,4156,138,227,60,6,1787,52
UA,closed,14541,51,283,48,6,1303,101
UG,open,1715,138,353,140,110,1417,37
UG,closed,852,49,101,35,34,427,12
US,open,880524,99416,169331,110775,24200,567551,31131
US,closed,1067535,59009,131024,64985,19001,476626,18781
UY,open,1182,49,146,51,13,587,34
UY,closed,2317,49,171,47,18,785,43
UZ,open,245,7,15,3,3,148,2
UZ,closed,892,1,15,0,6,78,2
VA,open,9,4,8,6,0,15,1
VA,closed,9,0,1,0,0,4,1
VC,open,1,0,0,0,0,0,0
VC,closed,6,0,0,0,0,3,0
VE,open,808,36,104,30,6,391,13
VE,closed,1670,23,90,21,6,481,35
VN,open,3205,139,332,104,62,1445,47
VN,closed,7542,114,304,62,49,1313,50
VU,open,8,1,3,0,0,6,0
VU,closed,33,6,3,1,3,8,2
WS,open,3,0,0,0,1,1,0
WS,closed,14,1,3,0,2,8,0
YE,open,147,5,17,4,6,74,3
YE,closed,354,12,28,2,2,91,2
ZA,open,21398,1459,3291,1194,582,10622,542
ZA,closed,27961,1613,2509,719,336,10051,451
ZM,open,400,27,77,25,28,349,9
ZM,closed,256,15,34,11,16,141,2
ZW,open,430,27,71,36,23,281,4
ZW,closed,760,33,64,21,24,293,8

